epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.73,1.40142,3.91394,1.38718,0.00322,0.96552,0.80878,0.40653,1.32939,4.54653,1.18218,0.00036,0.00036,0.00036
2,173.314,1.3828,2.73942,1.28448,0.05295,0.82759,0.7322,0.39389,1.38499,4.57329,1.23292,0.00072779,0.00072779,0.00072779
3,240.603,1.46512,2.5817,1.28854,0.74877,0.4454,0.65236,0.31952,1.50515,4.30019,1.39229,0.00108304,0.00108304,0.00108304
4,311.001,1.42841,2.51076,1.36529,0.46706,0.34483,0.35991,0.17382,1.71656,4.52954,1.51774,0.00142575,0.00142575,0.00142575
5,399.751,1.49838,2.36151,1.37709,0.68318,0.42529,0.46144,0.21749,1.72255,3.57416,1.47209,0.00175592,0.00175592,0.00175592
6,484.417,1.42567,2.22344,1.3424,0.55064,0.31034,0.32921,0.12822,1.97671,5.96891,1.62137,0.001835,0.001835,0.001835
7,573.815,1.43535,1.91442,1.32213,0.66697,0.1954,0.15234,0.05717,2.18393,23.667,2.05437,0.001802,0.001802,0.001802
8,669.457,1.4182,1.80677,1.31327,0.40854,0.32184,0.31315,0.13991,1.9603,14.4495,1.79066,0.001769,0.001769,0.001769
9,755.157,1.40042,1.68767,1.30655,0.59829,0.35632,0.335,0.18952,1.56036,6.11637,1.44233,0.001736,0.001736,0.001736
10,848.166,1.4243,1.61038,1.33914,0.79555,0.32184,0.33239,0.19492,1.59173,3.01905,1.4342,0.001703,0.001703,0.001703
11,934.07,1.38566,1.47094,1.31301,0.93089,0.37931,0.41979,0.23795,1.5215,2.00957,1.37399,0.00167,0.00167,0.00167
12,1028.47,1.38795,1.37954,1.31171,0.85278,0.32184,0.34644,0.20344,1.55326,1.71292,1.40102,0.001637,0.001637,0.001637
13,1119.06,1.3611,1.3194,1.31544,0.82544,0.29885,0.30928,0.17756,1.54956,2.42686,1.38671,0.001604,0.001604,0.001604
14,1260.83,1.4017,1.26565,1.30023,0.81326,0.4005,0.41254,0.24756,1.47884,1.34975,1.37245,0.001571,0.001571,0.001571
